ASSET_CLASS,ASSET_CD,LOCATION_DETAIL,STEWARD,MAINTAINED_BY,MAINT_INFO,LIFE_CYCLE_STATUS,ASSET_TYPE,TYPE_DESCRIPTION,MINORTYPE,BOOKING_CODE,longitude,latitude,location
,DRN547,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1DRN01,-114.00700054336,50.9224216988215,"(50.9224216988215, -114.00700054336)"
,UNI546,3045 UTAH DR NW,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1UNI99,-114.13281374059,51.0686388474992,"(51.0686388474992, -114.13281374059)"
,HOR146,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1HOR01,-113.993186796609,51.0916961332625,"(51.0916961332625, -113.993186796609)"
,HOR146,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,4,GOAL POST,STANDARD,S1HOR02,-113.994613774362,51.0910258136315,"(51.0910258136315, -113.994613774362)"
,PAL039,,CALGARY BOARD OF EDUCATION,CALGARY PARKS AND SCHOOL,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,B1PAL01,-114.114287065096,50.9692686884565,"(50.9692686884565, -114.114287065096)"
,HUN683,,CALGARY SEPARATE SCHOOL BOARD,CALGARY SEPARATE SCHOOL BOARD,,ACTIVE,4,GOAL POST,STANDARD,S6HUN28,-114.060806780851,51.1185207698991,"(51.1185207698991, -114.060806780851)"
,HUN683,,CALGARY SEPARATE SCHOOL BOARD,CALGARY SEPARATE SCHOOL BOARD,,ACTIVE,4,GOAL POST,STANDARD,S6HUN28,-114.060796974423,51.1180052957804,"(51.1180052957804, -114.060796974423)"
,HUN715,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,,ACTIVE,4,GOAL POST,WITH UPRIGHT,S5HUN14,-114.069143119071,51.1120945054668,"(51.1120945054668, -114.069143119071)"
,HUN715,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,,ACTIVE,4,GOAL POST,WITH UPRIGHT,X5HUN15,-114.067980632884,51.112251299154,"(51.112251299154, -114.067980632884)"
,HUN715,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,,ACTIVE,4,GOAL POST,WITH UPRIGHT,X5HUN15,-114.068036475757,51.113155632371,"(51.113155632371, -114.068036475757)"
,HUN715,,CALGARY SEPARATE SCHOOL BOARD,CALGARY SEPARATE SCHOOL BOARD,,ACTIVE,4,GOAL POST,STANDARD,S6HUN18,-114.065767483115,51.1110661708475,"(51.1110661708475, -114.065767483115)"
,HUN715,,CALGARY SEPARATE SCHOOL BOARD,CALGARY SEPARATE SCHOOL BOARD,,ACTIVE,4,GOAL POST,STANDARD,S6HUN17,-114.066808410018,51.1115243810071,"(51.1115243810071, -114.066808410018)"
,THO111,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,,ACTIVE,4,GOAL POST,STANDARD,S5THO08,-114.065771249888,51.1020283159063,"(51.1020283159063, -114.065771249888)"
,HUN683,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,,ACTIVE,4,GOAL POST,STANDARD,S5HUN32,-114.060871903026,51.1199480861342,"(51.1199480861342, -114.060871903026)"
,HUN683,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,,ACTIVE,4,GOAL POST,STANDARD,S5HUN36,-114.060363024805,51.1210012372159,"(51.1210012372159, -114.060363024805)"
,THO111,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,,ACTIVE,4,GOAL POST,STANDARD,S5THO08,-114.065763631605,51.1015386352922,"(51.1015386352922, -114.065763631605)"
,THO111,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,,ACTIVE,4,GOAL POST,STANDARD,S5THO09,-114.066347119495,51.1018083366655,"(51.1018083366655, -114.066347119495)"
,OGD794,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,,ACTIVE,4,GOAL POST,STANDARD,S5OGD03,-114.011493849964,50.9929755799495,"(50.9929755799495, -114.011493849964)"
,OGD794,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,,ACTIVE,4,GOAL POST,STANDARD,S5OGD03,-114.010539503449,50.9929803895904,"(50.9929803895904, -114.010539503449)"
PORTABLE,SCA867,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,N/A,-114.100468515307,51.0403108765059,"(51.0403108765059, -114.100468515307)"
PORTABLE,SCA867,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,N/A,-114.100363245286,51.0399019039751,"(51.0399019039751, -114.100363245286)"
PORTABLE,SCA867,,CALGARY PARKS SHARED,LEASE HOLDER,,ACTIVE,5,PLAYERS BENCH,NO BREAKDOWN,N/A,-114.100748904232,51.0403215172247,"(51.0403215172247, -114.100748904232)"
,SKR400,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,1,BASKETBALL HOOP,NO BREAKDOWN,N/A,-113.962299689281,51.1634597200043,"(51.1634597200043, -113.962299689281)"
,UOC200,,CALGARY RECREATION,CALGARY RECREATION,,ACTIVE,4,GOAL POST,STANDARD,SOCCER 4,-114.124457604746,51.0729572673041,"(51.0729572673041, -114.124457604746)"
,UOC200,,CALGARY RECREATION,CALGARY RECREATION,,ACTIVE,4,GOAL POST,STANDARD,SOCCER 5,-114.124578377909,51.0724377177279,"(51.0724377177279, -114.124578377909)"
